prefix,URI,Title,Languages,VersionName,VersionDate,Link,Folder
dcite,http://purl.org/spar/datacite,The DataCite Ontology, en ,v0.6.4.1,2014-05-21,https://lov.linkeddata.es/dataset/lov/vocabs/dcite/versions/2014-05-21.n3,LOV_Full
dcndl,http://ndl.go.jp/dcndl/terms/,NDL Metadata Terms, ,v2011-12-01,2011-12-01,https://lov.linkeddata.es/dataset/lov/vocabs/dcndl/versions/2011-12-01.n3,LOV_Full
dco,https://w3id.org/dco,domOS Common Ontology, en ,v1.0,2021-09-30,https://lov.linkeddata.es/dataset/lov/vocabs/dco/versions/2021-09-30.n3,LOV_Full
dcterms,http://purl.org/dc/terms/,DCMI Metadata Terms, en ,v2012-06-14,2012-06-14,https://lov.linkeddata.es/dataset/lov/vocabs/dcterms/versions/2012-06-14.n3,LOV_Full
dctype,http://purl.org/dc/dcmitype/,DCMI Type Vocabulary, en ,v2012-06-14,2012-06-14,https://lov.linkeddata.es/dataset/lov/vocabs/dctype/versions/2012-06-14.n3,LOV_Full
ddesc,https://w3id.org/arco/ontology/denotative-description,Denotative Description Ontology (ArCo network), en it ,v2019-10-23,2019-10-23,https://lov.linkeddata.es/dataset/lov/vocabs/ddesc/versions/2019-10-23.n3,LOV_Full
decision,https://decision-ontology.googlecode.com/svn/trunk/decision.owl,Decision ontology, en pl ,v1.0,2012-04-18,https://lov.linkeddata.es/dataset/lov/vocabs/decision/versions/2012-04-18.n3,LOV_Full
demlab,http://www.demcare.eu/ontologies/demlab.owl,Dem@Care Lab Ontology for Dementia Assessment, en ,v1.0,2014-09-02,https://lov.linkeddata.es/dataset/lov/vocabs/demlab/versions/2014-09-02.n3,LOV_Full
deo,http://purl.org/spar/deo,The Discourse Elements Ontology, en ,1.1,2015-07-03,https://lov.linkeddata.es/dataset/lov/vocabs/deo/versions/2015-07-03.n3,LOV_Full
deps,http://ontologi.es/doap-deps#,DOAP Dependencies, ,v2013-07-31,2013-07-31,https://lov.linkeddata.es/dataset/lov/vocabs/deps/versions/2013-07-31.n3,LOV_Full
dfc,http://static.datafoodconsortium.org/ontologies/DFC_FullModel.owl,Data Food Consortium Ontology, ,v4.0,2019-10-21,https://lov.linkeddata.es/dataset/lov/vocabs/dfc/versions/2019-10-21.n3,LOV_Full
dfc-p,http://static.datafoodconsortium.org/ontologies/DFC_ProductGlossary.owl,A common vocabulary for digital food platforms (Product Glossary Part), ,v4.0,2019-10-21,https://lov.linkeddata.es/dataset/lov/vocabs/dfc-p/versions/2019-10-21.n3,LOV_Full
dfc-t,http://static.datafoodconsortium.org/ontologies/DFC_TechnicalOntology.owl,A common vocabulary for digital food platforms (Technical Part), ,v4.0,2019-10-21,https://lov.linkeddata.es/dataset/lov/vocabs/dfc-t/versions/2019-10-21.n3,LOV_Full
dg,https://w3id.org/dingo/,DINGO Ontology, ,v2020-01-10,2020-01-10,https://lov.linkeddata.es/dataset/lov/vocabs/dg/versions/2020-01-10.n3,LOV_Full
dicom,http://purl.org/healthcarevocab/v1,Healthcare metadata - DICOM ontology, ,v2015-01-11,2015-01-11,https://lov.linkeddata.es/dataset/lov/vocabs/dicom/versions/2015-01-11.n3,LOV_Full
sdmx-dimension,http://purl.org/linked-data/sdmx/2009/dimension,SDMX Dimension, en ,v2010-07-22,2010-07-22,https://lov.linkeddata.es/dataset/lov/vocabs/sdmx-dimension/versions/2010-07-22.n3,LOV_Full
dio,https://w3id.org/dio,The Design Intent Ontology, en ,v1.1,2016-01-04,https://lov.linkeddata.es/dataset/lov/vocabs/dio/versions/2016-01-04.n3,LOV_Full
disco,http://rdf-vocabulary.ddialliance.org/discovery,DDI-RDF Discovery Vocabulary, de en fr ,v0.6,2013-09-30,https://lov.linkeddata.es/dataset/lov/vocabs/disco/versions/2013-09-30.n3,LOV_Full
dita,http://purl.org/dita/ns#,DITA RDF ontology, en ,v1.2,2014-08-03,https://lov.linkeddata.es/dataset/lov/vocabs/dita/versions/2014-08-03.n3,LOV_Full
dk,http://www.data-knowledge.org/dk/,The Data Knowledge Vocabulary, de en ,v1.1,2018-02-14,https://lov.linkeddata.es/dataset/lov/vocabs/dk/versions/2018-02-14.n3,LOV_Full
dm2e,http://onto.dm2e.eu/schemas/dm2e,DM2E model, ,v2015-01-20,2015-01-20,https://lov.linkeddata.es/dataset/lov/vocabs/dm2e/versions/2015-01-20.n3,LOV_Full
dnbt,http://d-nb.info/standards/elementset/dnb,DNB Metadata Terms, de en ,v1.3,2019-02-12,https://lov.linkeddata.es/dataset/lov/vocabs/dnbt/versions/2019-02-12.n3,LOV_Full
doap,http://usefulinc.com/ns/doap#,Description of a Project vocabulary, cs de en es fr ja ,v2012-01-04,2012-01-04,https://lov.linkeddata.es/dataset/lov/vocabs/doap/versions/2012-01-04.n3,LOV_Full
doc,http://www.w3.org/2000/10/swap/pim/doc,"Works, licences, derivatives and dependencies", ,v1.4,2006-07-29,https://lov.linkeddata.es/dataset/lov/vocabs/doc/versions/2006-07-29.n3,LOV_Full
doco,http://purl.org/spar/doco,"DoCO, the Document Components Ontology", en ,1.3,2015-07-03,https://lov.linkeddata.es/dataset/lov/vocabs/doco/versions/2015-07-03.n3,LOV_Full
docso,http://purl.org/ontology/dso,Document Service Ontology, en ,v0;65,2013-12-05,https://lov.linkeddata.es/dataset/lov/vocabs/docso/versions/2013-12-05.n3,LOV_Full
dogont,http://elite.polito.it/ontologies/dogont.owl,Ontology Modeling for Intelligent Domotic Environments, en ,v2015-01-11,2015-01-11,https://lov.linkeddata.es/dataset/lov/vocabs/dogont/versions/2015-01-11.n3,LOV_Full
donto,http://reference.data.gov.au/def/ont/dataset,Dataset Ontology, en ,v1,2015-06-19,https://lov.linkeddata.es/dataset/lov/vocabs/donto/versions/2015-06-19.n3,LOV_Full
